,State,Year,Victim_count,Offender_race,Victim_race,Offense,City,Offender_count,Region,Juvenile_Offeneder_Count
0,Massachusetts,1998,1,Black or African American,White,Intimidation,Boston,1,Northeast,
1,Washington,1994,2,White,Asian,Property,Pierce,2,West,
2,Minnesota,2013,1,Black or African American,White,Assault,St. Paul,1,Midwest,0.0
3,Massachusetts,1993,1,White,Asian,Others,Fall River,1,Northeast,
4,California,2003,1,White,Black or African American,Intimidation,Riverside,1,West,
5,California,1995,1,Black or African American,White,Assault,Los Angeles,1,West,
6,Michigan,1997,1,White,Black or African American,Intimidation,Gibraltar,1,Midwest,
7,California,1999,1,White,Black or African American,Assault,Los Angeles,1,West,
8,Arizona,2014,1,Black or African American,Others,Assault,Phoenix,3,West,0.0
9,New York,1995,1,Black or African American,White,Intimidation,State University of New York Police:,1,Northeast,
10,Virginia,1998,1,White,Black or African American,Assault,Charlottesville,1,South,
11,California,1995,1,Asian,Others,Assault,Pasadena,5,West,
12,Wisconsin,2010,2,Black or African American,White,Assault,Milwaukee,1,Midwest,
13,Kansas,2012,2,Black or African American,Others,Assault,Lawrence,1,Midwest,
14,Texas,2001,1,White,Others,Assault,Lubbock,1,South,
15,Kansas,2005,2,White,Black or African American,Assault,Baldwin City,1,Midwest,
16,Florida,1994,1,White,Black or African American,Assault,Orange,1,South,
17,Michigan,2000,1,White,Black or African American,Intimidation,Warren,1,Midwest,
18,Nebraska,2003,1,White,Black or African American,Assault,Lincoln,1,Midwest,
19,Massachusetts,1996,2,White,Black or African American,Intimidation,Boston,2,Northeast,
20,New York,2001,1,White,Others,Intimidation,Rochester,1,Northeast,
21,North Carolina,1995,1,White,Black or African American,Assault,Gaston County Police Department,1,South,
22,New York,2013,1,Black or African American,Others,Assault,New York,1,Northeast,0.0
23,West Virginia,2007,2,White,Others,Assault,Kanawha,1,South,
24,Texas,1992,1,White,Black or African American,Assault,El Paso,1,South,
25,Washington,2017,1,White,Others,Assault,Vancouver,1,West,0.0
26,Missouri,2011,1,White,Black or African American,Assault,Poplar Bluff,1,Midwest,0.0
27,Louisiana,2004,1,White,Others,Assault,Mamou,1,South,
28,California,2012,2,Black or African American,Others,Property,Concord,2,West,
29,California,2001,1,White,Others,Assault,Santa Rosa,3,West,
30,Massachusetts,2017,1,White,Others,Assault,Boston,2,Northeast,0.0
